index,cluster
3,1
5,0
6,1
8,0
9,0
10,0
11,0
12,0
13,0
14,1
15,1
16,0
18,2
19,0
20,2
22,1
23,1
24,0
25,0
26,0
27,1
28,0
29,2
30,1
31,2
32,0
33,0
36,0
37,0
38,2
39,0
41,1
43,1
45,1
46,0
47,1
48,1
49,0
50,0
51,2
52,2
53,0
55,2
56,1
57,0
59,0
60,1
61,0
63,0
64,1
65,0
66,0
67,1
68,2
69,2
70,2
71,0
72,0
73,1
74,1
75,1
76,2
77,0
78,2
80,1
81,0
82,1
83,0
85,0
86,0
87,2
88,0
89,0
90,0
91,2
92,0
93,2
94,1
95,2
96,2
97,1
98,2
99,0
100,0
101,2
102,2
103,0
104,2
107,0
108,0
109,1
110,0
111,2
112,1
113,0
114,2
115,0
116,0
117,0
118,2
119,0
120,1
122,2
123,1
124,2
125,0
126,0
128,0
129,2
130,1
131,2
132,0
133,1
134,0
136,0
137,2
138,0
139,2
140,0
141,0
143,2
144,0
145,1
146,1
148,0
149,0
150,2
151,0
152,1
153,0
154,0
156,1
157,1
159,0
161,0
162,1
163,1
165,0
166,2
167,1
168,1
170,1
171,1
172,0
173,2
174,1
175,1
177,2
179,2
180,0
181,1
182,2
183,1
184,0
185,2
186,0
187,1
188,2
189,1
190,2
191,0
195,2
196,1
197,0
199,0
200,1
201,1
202,0
203,1
204,0
205,2
207,2
209,0
210,2
212,0
213,2
214,0
216,0
217,0
219,0
221,2
222,2
223,1
224,0
225,2
227,0
228,0
230,0
233,2
234,1
235,1
236,2
237,1
238,2
239,2
240,0
241,1
242,0
243,0
244,2
245,1
246,2
247,2
249,1
250,1
252,0
253,0
255,1
256,0
257,1
258,0
259,2
260,0
261,0
262,1
263,0
265,1
266,0
269,0
270,1
271,0
272,1
273,2
274,0
275,1
276,1
278,1
279,0
280,1
281,0
282,0
283,1
284,0
286,0
287,0
288,0
289,1
290,2
291,0
292,0
293,0
295,1
296,0
297,0
298,1
299,1
300,0
302,1
303,1
304,2
305,1
306,1
307,0
308,2
309,2
310,1
311,1
312,2
313,1
314,0
315,1
316,0
317,1
318,0
319,0
320,2
321,0
322,1
323,0
324,0
325,0
326,1
327,1
328,2
329,2
330,2
332,0
333,2
334,0
335,2
336,1
337,2
339,2
340,2
341,0
343,0
344,0
345,2
346,1
348,0
350,1
351,0
352,2
353,1
354,2
355,2
357,1
358,0
359,0
361,2
362,0
363,1
364,1
365,0
366,1
367,2
368,0
369,0
370,2
371,1
373,0
374,0
375,2
376,0
378,2
379,0
380,0
381,2
382,1
383,0
384,0
386,0
387,2
388,0
390,2
391,1
392,1
393,2
394,1
395,1
397,0
398,0
399,0
400,0
401,1
402,0
403,0
404,0
405,2
406,0
407,0
408,2
409,0
411,0
412,0
413,0
415,1
416,2
418,0
419,1
420,0
421,1
422,2
424,1
425,1
426,1
427,1
428,1
429,0
430,2
432,1
433,0
434,0
435,0
437,1
438,1
439,0
440,0
441,2
442,0
443,2
444,0
445,0
446,0
447,0
448,1
449,0
450,2
451,2
452,1
453,1
455,0
456,0
457,2
458,0
459,0
462,0
463,0
464,2
465,0
466,1
467,0
468,0
469,1
470,0
471,0
472,1
473,0
474,0
476,2
478,2
479,1
480,1
481,1
482,1
484,0
486,1
487,1
488,2
489,1
491,0
493,0
495,2
496,0
497,0
499,1
502,1
503,1
504,2
505,0
506,1
507,2
508,2
509,1
510,0
511,2
512,2
513,2
514,1
516,2
519,0
522,2
523,0
525,2
530,2
531,0
532,1
534,0
537,0
538,1
540,1
541,0
542,0
545,0
548,1
549,1
550,0
551,1
